user_id,date,day_total,running_total
181,2015-03-04,22,22
182,2015-04-04,54,54
182,2015-04-29,21,75
183,2015-03-06,113,113
184,2015-03-07,40,40
184,2015-03-19,17,57
184,2015-03-23,45,102
186,2015-03-14,92,92
186,2015-03-15,29,121
186,2015-04-27,67,188
187,2015-03-03,58,58
187,2015-03-10,74,132
187,2015-04-10,45,177
188,2015-03-10,94,94
188,2015-03-13,42,136
189,2015-04-15,47,47
190,2015-03-12,33,33
191,2015-03-11,61,61
191,2015-03-22,43,104
191,2015-03-27,49,153
191,2015-04-21,33,186
192,2015-04-30,96,96
193,2015-04-23,45,45
194,2015-03-09,24,24
194,2015-04-15,72,96
195,2015-03-07,44,44
197,2015-04-18,58,58
197,2015-04-21,54,112
198,2015-04-15,94,94
201,2015-03-07,10,10
201,2015-04-25,60,70
202,2015-03-10,70,70
202,2015-03-21,76,146
203,2015-03-06,57,57
203,2015-03-08,46,103
204,2015-03-23,29,29
205,2015-03-30,52,52
207,2015-03-20,47,47
207,2015-04-21,74,121
208,2015-03-16,57,57
210,2015-03-18,13,13
210,2015-04-21,45,58
211,2015-03-27,104,104
211,2015-04-26,41,145
212,2015-04-13,76,76
212,2015-04-28,65,141
212,2015-04-30,32,173
213,2015-03-23,38,38
213,2015-04-19,42,80
216,2015-04-21,12,12
218,2015-03-06,41,41
218,2015-03-24,74,115
218,2015-03-25,13,128
218,2015-04-09,65,193
221,2015-03-23,58,58
221,2015-04-28,109,167
224,2015-03-08,77,77
224,2015-04-27,67,144
225,2015-03-10,90,90
227,2015-04-20,61,61
230,2015-04-07,51,51
231,2015-04-26,61,61
232,2015-03-25,74,74
233,2015-03-25,56,56
233,2015-04-17,68,124
234,2015-03-30,42,42
234,2015-04-02,58,100
235,2015-03-08,42,42
237,2015-04-22,68,68
237,2015-04-25,59,127
238,2015-03-05,29,29
238,2015-04-25,61,90
239,2015-03-03,11,11
240,2015-04-16,30,30
241,2015-03-21,68,68
242,2015-03-02,34,34
242,2015-03-15,92,126
242,2015-03-17,17,143
242,2015-03-20,35,178
242,2015-04-15,54,232
245,2015-03-24,121,121
245,2015-04-03,55,176
246,2015-04-14,106,106
246,2015-04-17,61,167
249,2015-04-23,80,80
250,2015-03-12,57,57
250,2015-04-15,59,116
251,2015-04-06,39,39
253,2015-04-14,44,44
254,2015-04-14,57,57
254,2015-04-15,74,131
255,2015-04-03,130,130
255,2015-04-08,16,146
256,2015-03-09,108,108
258,2015-03-29,77,77
259,2015-03-03,27,27
259,2015-03-25,78,105
259,2015-04-27,46,151
260,2015-03-08,80,80
260,2015-03-10,78,158
260,2015-03-26,103,261
260,2015-04-17,56,317
261,2015-04-11,46,46
262,2015-04-21,87,87
265,2015-03-17,44,44
266,2015-03-10,83,83
266,2015-04-21,94,177
269,2015-03-28,31,31
270,2015-04-17,66,66
270,2015-04-23,54,120
271,2015-03-26,41,41
271,2015-04-01,55,96
271,2015-04-07,57,153
272,2015-03-17,39,39
273,2015-04-06,70,70
273,2015-04-13,87,157
273,2015-04-24,43,200
274,2015-04-12,50,50
274,2015-04-15,34,84
275,2015-04-18,134,134
276,2015-03-07,41,41
276,2015-04-10,77,118
278,2015-04-29,44,44
280,2015-03-21,66,66
280,2015-03-24,64,130
281,2015-03-04,36,36
283,2015-04-15,10,10
283,2015-04-18,88,98
284,2015-03-04,82,82
284,2015-03-15,13,95
285,2015-04-26,31,31
286,2015-03-18,11,11
287,2015-04-30,33,33
288,2015-04-03,74,74
289,2015-04-28,42,42
290,2015-04-21,20,20
290,2015-04-24,23,43
295,2015-04-17,96,96
296,2015-03-22,32,32
297,2015-03-08,33,33
297,2015-03-12,18,51
297,2015-04-21,58,109
299,2015-04-28,83,83
302,2015-03-07,23,23
302,2015-03-31,28,51
302,2015-04-29,109,160
304,2015-04-04,84,84
305,2015-03-06,91,91
305,2015-03-21,47,138
306,2015-03-15,48,48
306,2015-03-29,37,85
306,2015-04-11,84,169
307,2015-03-24,10,10
308,2015-04-20,74,74
310,2015-04-07,96,96
313,2015-04-24,54,54
314,2015-03-14,45,45
314,2015-04-14,40,85
315,2015-04-23,42,42
319,2015-03-15,43,43
319,2015-04-01,65,108
321,2015-04-29,83,83
323,2015-03-21,36,36
323,2015-03-30,54,90
324,2015-03-14,75,75
326,2015-03-30,84,84
326,2015-04-26,16,100
327,2015-04-10,95,95
328,2015-04-02,70,70
332,2015-04-02,43,43
333,2015-04-04,29,29
333,2015-04-17,53,82
334,2015-03-15,41,41
335,2015-03-19,51,51
335,2015-04-26,46,97
339,2015-04-30,100,100
342,2015-03-10,81,81
343,2015-03-08,32,32
343,2015-04-07,27,59
344,2015-04-06,68,68
345,2015-03-24,48,48
346,2015-03-13,69,69
347,2015-04-20,84,84
348,2015-03-17,58,58
348,2015-04-25,44,102
348,2015-04-27,98,200
351,2015-04-21,96,96
352,2015-03-13,102,102
352,2015-04-26,49,151
353,2015-03-26,68,68
353,2015-04-06,105,173
355,2015-03-12,27,27
355,2015-04-03,43,70
355,2015-04-17,61,131
355,2015-04-27,99,230
356,2015-04-18,57,57
358,2015-03-27,77,77
359,2015-03-05,71,71
360,2015-03-22,30,30
360,2015-04-04,75,105
360,2015-04-14,108,213
361,2015-04-03,29,29
362,2015-03-19,49,49
364,2015-04-01,35,35
364,2015-04-23,69,104
365,2015-04-18,74,74
367,2015-04-20,55,55
368,2015-04-07,63,63
371,2015-04-19,78,78
374,2015-03-31,87,87
374,2015-04-13,34,121
374,2015-04-15,91,212
375,2015-03-13,29,29
376,2015-03-21,43,43
376,2015-04-11,112,155
376,2015-04-27,45,200
378,2015-03-14,89,89
379,2015-04-22,46,46
380,2015-04-13,99,99
382,2015-04-01,66,66
382,2015-04-23,25,91
382,2015-04-24,51,142
383,2015-03-09,85,85
383,2015-03-12,65,150
383,2015-04-01,23,173
384,2015-04-28,54,54
386,2015-03-16,38,38
386,2015-03-20,63,101
388,2015-03-21,50,50
388,2015-04-08,56,106
388,2015-04-23,12,118
389,2015-03-06,40,40
389,2015-04-09,109,149
391,2015-03-16,37,37
392,2015-03-05,17,17
392,2015-03-11,11,28
392,2015-03-23,76,104
394,2015-04-04,45,45
395,2015-04-17,100,100
396,2015-03-01,27,27
396,2015-03-27,55,82
400,2015-04-05,73,73
401,2015-04-06,102,102
402,2015-04-06,14,14
404,2015-03-19,29,29
405,2015-03-13,118,118
405,2015-03-26,59,177
405,2015-04-08,57,234
406,2015-04-09,67,67
409,2015-03-17,38,38
409,2015-03-22,76,114
409,2015-04-11,52,166
410,2015-04-22,49,49
411,2015-04-11,94,94
412,2015-03-18,30,30
413,2015-04-25,32,32
413,2015-04-27,29,61
414,2015-03-28,18,18
414,2015-04-05,60,78
414,2015-04-22,53,131
415,2015-04-26,62,62
416,2015-03-31,35,35
417,2015-03-09,52,52
417,2015-04-26,36,88
417,2015-04-29,90,178
418,2015-03-26,48,48
418,2015-04-01,28,76
418,2015-04-20,47,123
423,2015-04-28,62,62
424,2015-03-31,26,26
424,2015-04-20,111,137
425,2015-03-01,20,20
425,2015-04-02,71,91
425,2015-04-29,44,135
427,2015-04-17,73,73
428,2015-03-01,55,55
428,2015-03-14,65,120
431,2015-04-12,112,112
433,2015-04-18,23,23
435,2015-04-17,17,17
436,2015-04-13,56,56
437,2015-03-28,62,62
437,2015-04-26,16,78
438,2015-04-10,62,62
438,2015-04-11,58,120
439,2015-04-14,22,22
440,2015-04-23,43,43
442,2015-04-23,43,43
444,2015-03-24,57,57
445,2015-03-09,131,131
445,2015-03-18,14,145
445,2015-03-23,75,220
445,2015-03-24,44,264
446,2015-03-08,79,79
446,2015-04-22,51,130
447,2015-03-21,65,65
448,2015-03-07,48,48
450,2015-04-05,78,78
451,2015-03-27,55,55
451,2015-04-16,77,132
453,2015-04-14,21,21
454,2015-03-03,85,85
454,2015-03-12,46,131
454,2015-03-23,38,169
455,2015-03-07,81,81
455,2015-03-30,38,119
457,2015-04-11,47,47
458,2015-03-14,43,43
459,2015-03-03,39,39
459,2015-03-21,73,112
459,2015-04-01,104,216
461,2015-04-18,73,73
462,2015-03-14,45,45
462,2015-04-01,27,72
463,2015-04-08,56,56
464,2015-03-29,90,90
467,2015-03-01,25,25
467,2015-03-18,72,97
467,2015-03-19,88,185
467,2015-04-16,37,222
468,2015-04-12,65,65
470,2015-04-30,60,60
473,2015-04-19,64,64
473,2015-04-29,28,92
475,2015-03-05,76,76
476,2015-04-14,67,67
476,2015-04-26,72,139
480,2015-03-25,27,27
483,2015-04-19,48,48
483,2015-04-28,34,82
484,2015-04-25,103,103
485,2015-04-25,63,63
485,2015-04-30,73,136
486,2015-03-05,18,18
486,2015-03-15,44,62
487,2015-03-01,67,67
488,2015-03-29,17,17
488,2015-04-05,33,50
488,2015-04-20,91,141
488,2015-04-21,96,237
489,2015-03-08,36,36
489,2015-04-01,28,64
489,2015-04-14,38,102
489,2015-04-15,57,159
490,2015-03-03,67,67
490,2015-03-09,21,88
490,2015-04-03,17,105
492,2015-04-06,57,57
493,2015-03-01,17,17
493,2015-04-16,71,88
494,2015-03-05,80,80
495,2015-04-09,30,30
497,2015-03-21,52,52
498,2015-04-02,44,44
499,2015-04-15,67,67
500,2015-04-28,111,111
502,2015-04-18,107,107
503,2015-03-17,31,31
503,2015-04-20,134,165
504,2015-03-12,70,70
504,2015-03-30,53,123
505,2015-03-28,56,56
505,2015-03-30,61,117
506,2015-04-22,123,123
508,2015-04-16,47,47
508,2015-04-30,124,171
509,2015-03-24,50,50
509,2015-04-08,35,85
510,2015-03-10,64,64
510,2015-03-24,89,153
510,2015-04-05,86,239
510,2015-04-10,87,326
511,2015-03-25,47,47
511,2015-04-05,80,127
511,2015-04-08,74,201
517,2015-03-09,111,111
519,2015-04-24,77,77
520,2015-04-02,30,30
521,2015-03-10,39,39
522,2015-04-08,65,65
522,2015-04-17,23,88
522,2015-04-18,47,135
523,2015-03-07,100,100
523,2015-03-17,66,166
523,2015-04-05,75,241
523,2015-04-16,45,286
523,2015-04-18,61,347
525,2015-04-04,29,29
525,2015-04-15,69,98
528,2015-04-19,92,92
528,2015-04-27,80,172
529,2015-03-07,24,24
529,2015-04-13,25,49
530,2015-03-03,84,84
533,2015-03-27,59,59
535,2015-03-08,84,84
537,2015-03-06,21,21
537,2015-03-16,48,69
538,2015-03-09,52,52
541,2015-03-24,60,60
541,2015-04-26,92,152
543,2015-04-07,93,93
543,2015-04-25,136,229
544,2015-03-17,19,19
545,2015-03-28,19,19
545,2015-04-01,69,88
545,2015-04-20,87,175
546,2015-03-11,89,89
546,2015-03-30,47,136
547,2015-04-10,106,106
548,2015-03-29,62,62
548,2015-03-30,83,145
548,2015-04-02,51,196
548,2015-04-08,50,246
549,2015-04-28,27,27
551,2015-04-05,81,81
551,2015-04-26,88,169
552,2015-03-20,26,26
552,2015-03-30,48,74
552,2015-04-01,31,105
553,2015-04-08,111,111
554,2015-04-11,102,102
554,2015-04-29,90,192
555,2015-03-10,61,61
555,2015-04-15,39,100
556,2015-03-06,28,28
557,2015-04-12,24,24
560,2015-03-06,45,45
560,2015-04-04,71,116
561,2015-03-20,19,19
562,2015-04-20,82,82
564,2015-03-04,32,32
564,2015-03-06,42,74
564,2015-03-09,55,129
565,2015-04-10,79,79
565,2015-04-18,38,117
565,2015-04-26,64,181
566,2015-03-18,59,59
567,2015-04-14,40,40
567,2015-04-18,104,144
567,2015-04-27,29,173
570,2015-04-20,57,57
571,2015-03-03,39,39
574,2015-03-30,98,98
574,2015-04-05,41,139
577,2015-04-02,42,42
579,2015-04-12,50,50
580,2015-03-26,21,21
581,2015-03-30,25,25
582,2015-03-20,55,55
583,2015-03-25,119,119
584,2015-03-09,22,22
584,2015-04-16,70,92
584,2015-04-30,86,178
585,2015-03-17,48,48
585,2015-04-02,55,103
585,2015-04-04,29,132
585,2015-04-13,106,238
586,2015-04-14,29,29
587,2015-03-01,115,115
587,2015-04-09,68,183
588,2015-04-30,91,91
590,2015-03-11,107,107
590,2015-03-29,57,164
590,2015-04-24,133,297
591,2015-03-11,110,110
592,2015-04-13,50,50
593,2015-03-22,51,51
594,2015-03-31,53,53
596,2015-04-05,102,102
597,2015-03-03,63,63
598,2015-03-13,58,58
600,2015-04-10,43,43
600,2015-04-28,69,112
602,2015-03-28,117,117
602,2015-03-30,23,140
603,2015-03-01,74,74
603,2015-04-10,72,146
604,2015-04-09,38,38
605,2015-04-05,79,79
605,2015-04-13,94,173
609,2015-04-18,105,105
609,2015-04-22,68,173
610,2015-03-04,46,46
610,2015-03-16,11,57
614,2015-03-07,63,63
615,2015-03-02,100,100
616,2015-04-01,73,73
616,2015-04-11,26,99
619,2015-03-01,39,39
619,2015-04-30,96,135
620,2015-03-07,11,11
620,2015-03-14,111,122
621,2015-04-25,25,25
623,2015-03-27,32,32
623,2015-04-30,58,90
624,2015-03-26,100,100
624,2015-04-15,63,163
625,2015-03-03,55,55
625,2015-03-16,50,105
625,2015-03-22,60,165
625,2015-03-27,86,251
625,2015-04-21,29,280
625,2015-04-23,12,292
626,2015-04-25,58,58
627,2015-04-30,58,58
628,2015-04-02,65,65
629,2015-04-01,53,53
631,2015-03-11,93,93
633,2015-03-29,87,87
634,2015-03-05,62,62
634,2015-03-10,43,105
634,2015-03-17,47,152
637,2015-03-12,98,98
637,2015-03-19,35,133
637,2015-04-21,55,188
638,2015-04-19,55,55
639,2015-03-14,61,61
643,2015-04-08,77,77
644,2015-04-06,95,95
645,2015-04-01,49,49
646,2015-03-20,56,56
646,2015-03-22,70,126
646,2015-03-27,17,143
646,2015-04-08,86,229
647,2015-03-06,60,60
648,2015-04-14,101,101
648,2015-04-17,83,184
649,2015-04-29,67,67
650,2015-03-17,67,67
651,2015-04-18,11,11
652,2015-04-09,94,94
654,2015-03-30,72,72
655,2015-03-27,129,129
656,2015-03-09,31,31
657,2015-03-25,110,110
660,2015-03-01,88,88
660,2015-03-04,96,184
660,2015-03-27,27,211
660,2015-04-25,26,237
661,2015-03-22,40,40
661,2015-04-26,25,65
662,2015-03-24,45,45
662,2015-04-04,76,121
663,2015-03-14,79,79
663,2015-04-09,105,184
664,2015-03-02,51,51
665,2015-03-26,49,49
665,2015-04-17,123,172
666,2015-04-28,29,29
667,2015-03-22,37,37
668,2015-04-10,79,79
669,2015-04-15,61,61
670,2015-03-15,68,68
670,2015-04-15,54,122
670,2015-04-28,44,166
672,2015-04-08,15,15
673,2015-03-18,53,53
675,2015-03-26,58,58
678,2015-04-18,26,26
678,2015-04-20,43,69
681,2015-04-10,78,78
681,2015-04-25,60,138
684,2015-04-05,61,61
686,2015-03-08,39,39
686,2015-04-27,26,65
688,2015-03-13,73,73
689,2015-03-29,68,68
689,2015-04-30,61,129
690,2015-04-22,49,49
690,2015-04-26,124,173
691,2015-03-23,112,112
692,2015-03-25,84,84
692,2015-04-16,76,160
693,2015-04-23,50,50
696,2015-03-14,57,57
696,2015-04-01,57,114
697,2015-04-02,78,78
698,2015-04-29,62,62
699,2015-04-23,120,120
700,2015-03-09,95,95
700,2015-04-27,102,197
701,2015-03-23,108,108
702,2015-03-03,26,26
702,2015-03-10,57,83
702,2015-03-27,75,158
703,2015-03-21,23,23
703,2015-03-24,102,125
705,2015-03-09,46,46
707,2015-03-15,25,25
709,2015-03-25,15,15
709,2015-04-01,63,78
712,2015-03-29,95,95
712,2015-04-25,75,170
713,2015-04-01,14,14
715,2015-04-18,54,54
716,2015-03-12,89,89
717,2015-04-09,102,102
718,2015-04-08,28,28
720,2015-04-15,78,78
720,2015-04-28,55,133
720,2015-04-29,75,208
722,2015-03-15,70,70
722,2015-04-17,101,171
723,2015-03-03,32,32
724,2015-03-10,79,79
724,2015-04-08,44,123
726,2015-03-26,13,13
727,2015-03-10,40,40
727,2015-04-15,60,100
728,2015-04-16,100,100
729,2015-03-01,79,79
729,2015-04-05,76,155
730,2015-04-18,48,48
731,2015-04-05,94,94
731,2015-04-17,33,127
732,2015-04-03,136,136
734,2015-03-23,61,61
734,2015-04-20,76,137
737,2015-04-11,34,34
738,2015-04-07,102,102
739,2015-03-21,108,108
740,2015-04-12,38,38
741,2015-04-15,32,32
743,2015-03-08,159,159
743,2015-04-18,40,199
746,2015-04-04,30,30
747,2015-04-01,72,72
748,2015-04-18,36,36
750,2015-04-23,56,56
750,2015-04-30,61,117
751,2015-03-15,96,96
752,2015-03-15,80,80
752,2015-03-20,67,147
753,2015-04-29,18,18
754,2015-04-06,43,43
754,2015-04-07,69,112
754,2015-04-21,49,161
756,2015-03-10,35,35
756,2015-04-20,39,74
756,2015-04-29,99,173
757,2015-03-25,57,57
757,2015-04-30,27,84
758,2015-03-03,52,52
758,2015-03-24,70,122
759,2015-03-05,32,32
759,2015-03-23,10,42
759,2015-04-21,98,140
762,2015-03-14,68,68
762,2015-04-29,42,110
764,2015-03-02,108,108
766,2015-03-05,23,23
766,2015-04-15,98,121
766,2015-04-18,103,224
766,2015-04-25,51,275
768,2015-04-15,37,37
772,2015-03-28,29,29
772,2015-03-30,23,52
774,2015-04-22,30,30
777,2015-04-03,64,64
778,2015-04-02,13,13
778,2015-04-22,99,112
779,2015-03-10,54,54
782,2015-04-21,88,88
783,2015-04-23,85,85
785,2015-03-13,28,28
787,2015-03-22,115,115
787,2015-04-16,29,144
788,2015-03-21,70,70
789,2015-03-03,47,47
789,2015-04-16,56,103
789,2015-04-26,19,122
790,2015-03-15,69,69
791,2015-03-04,46,46
795,2015-04-16,49,49
797,2015-04-15,20,20
798,2015-04-02,17,17
800,2015-04-15,52,52
801,2015-03-12,54,54
801,2015-03-19,52,106
801,2015-04-27,14,120
803,2015-04-09,39,39
804,2015-04-09,58,58
805,2015-03-07,68,68
805,2015-04-28,56,124
808,2015-03-08,72,72
808,2015-04-14,48,120
808,2015-04-22,36,156
809,2015-04-13,87,87
810,2015-03-14,80,80
810,2015-04-13,14,94
810,2015-04-28,113,207
811,2015-04-02,83,83
811,2015-04-28,53,136
814,2015-03-19,44,44
814,2015-03-20,34,78
815,2015-03-17,44,44
815,2015-04-11,56,100
815,2015-04-28,65,165
816,2015-03-21,37,37
817,2015-04-16,42,42
818,2015-04-03,37,37
819,2015-03-25,47,47
821,2015-03-24,48,48
825,2015-04-07,58,58
825,2015-04-10,44,102
825,2015-04-16,104,206
829,2015-04-14,147,147
830,2015-04-26,75,75
831,2015-04-22,57,57
837,2015-03-05,14,14
837,2015-04-20,86,100
838,2015-03-27,38,38
841,2015-03-13,97,97
843,2015-03-26,30,30
845,2015-04-09,91,91
845,2015-04-17,73,164
848,2015-04-14,41,41
849,2015-04-01,51,51
849,2015-04-03,88,139
849,2015-04-04,26,165
850,2015-03-19,42,42
851,2015-03-05,15,15
852,2015-03-24,79,79
852,2015-04-04,47,126
853,2015-04-21,67,67
854,2015-04-01,86,86
856,2015-03-29,61,61
858,2015-04-12,73,73
862,2015-04-22,71,71
863,2015-03-15,88,88
866,2015-04-30,40,40
867,2015-03-24,31,31
870,2015-03-17,16,16
870,2015-04-01,72,88
872,2015-03-15,76,76
872,2015-03-17,55,131
874,2015-03-12,79,79
874,2015-03-29,23,102
878,2015-04-06,43,43
879,2015-03-21,78,78
879,2015-03-30,14,92
879,2015-04-10,112,204
879,2015-04-17,92,296
880,2015-03-23,37,37
880,2015-04-04,66,103
883,2015-03-19,15,15
883,2015-04-10,78,93
884,2015-03-16,61,61
884,2015-04-20,52,113
885,2015-03-15,79,79
887,2015-03-16,52,52
887,2015-03-25,108,160
887,2015-03-31,35,195
889,2015-03-21,65,65
889,2015-04-06,95,160
891,2015-04-17,64,64
893,2015-04-24,68,68
894,2015-04-09,35,35
894,2015-04-24,41,76
895,2015-04-07,74,74
895,2015-04-28,17,91
897,2015-03-21,23,23
897,2015-04-22,75,98
899,2015-03-12,82,82
899,2015-03-14,86,168
900,2015-03-31,64,64
900,2015-04-24,42,106
903,2015-03-18,52,52
903,2015-04-01,56,108
903,2015-04-29,76,184
905,2015-03-28,23,23
906,2015-04-01,20,20
906,2015-04-18,68,88
906,2015-04-28,58,146
907,2015-04-26,71,71
911,2015-03-11,60,60
911,2015-03-24,27,87
911,2015-04-12,60,147
913,2015-03-15,99,99
915,2015-03-01,67,67
917,2015-03-10,65,65
919,2015-04-03,86,86
920,2015-03-03,13,13
920,2015-04-09,92,105
921,2015-03-20,26,26
921,2015-04-04,70,96
921,2015-04-22,63,159
923,2015-03-16,60,60
923,2015-04-12,37,97
923,2015-04-19,28,125
923,2015-04-28,69,194
925,2015-03-18,38,38
926,2015-04-22,86,86
927,2015-04-08,47,47
929,2015-03-01,76,76
930,2015-03-27,92,92
931,2015-04-25,50,50
932,2015-03-03,31,31
932,2015-03-25,46,77
933,2015-04-28,29,29
934,2015-03-09,16,16
935,2015-03-23,49,49
935,2015-04-27,103,152
936,2015-03-09,62,62
937,2015-04-09,68,68
937,2015-04-17,30,98
937,2015-04-24,88,186
938,2015-03-14,106,106
941,2015-04-11,62,62
941,2015-04-28,57,119
942,2015-03-19,38,38
943,2015-04-19,75,75
944,2015-04-08,56,56
945,2015-04-21,35,35
946,2015-03-25,58,58
946,2015-03-27,28,86
948,2015-04-07,54,54
949,2015-03-05,95,95
949,2015-04-04,32,127
952,2015-04-01,46,46
953,2015-03-25,87,87
954,2015-03-05,61,61
954,2015-03-22,68,129
954,2015-03-28,123,252
954,2015-04-19,68,320
955,2015-04-27,56,56
956,2015-03-18,88,88
956,2015-04-26,59,147
957,2015-04-23,83,83
958,2015-03-11,80,80
958,2015-03-13,80,160
959,2015-03-13,67,67
960,2015-04-06,78,78
961,2015-04-20,109,109
962,2015-03-29,74,74
962,2015-04-04,93,167
963,2015-04-24,66,66
965,2015-04-11,71,71
965,2015-04-24,44,115
967,2015-04-23,45,45
968,2015-04-12,73,73
970,2015-04-06,76,76
970,2015-04-10,56,132
972,2015-03-05,65,65
972,2015-04-14,56,121
973,2015-03-26,70,70
975,2015-04-01,33,33
975,2015-04-28,97,130
976,2015-04-21,143,143
978,2015-03-11,24,24
978,2015-04-04,97,121
978,2015-04-05,47,168
978,2015-04-29,41,209
980,2015-03-05,25,25
980,2015-03-12,125,150
980,2015-04-01,50,200
983,2015-03-29,50,50
983,2015-04-17,74,124
984,2015-04-12,63,63
986,2015-03-04,78,78
986,2015-04-07,109,187
989,2015-03-16,54,54
991,2015-04-18,75,75
991,2015-04-25,33,108
992,2015-03-20,57,57
993,2015-03-26,47,47
993,2015-03-27,37,84
994,2015-03-16,77,77
995,2015-03-31,107,107
996,2015-04-06,67,67
997,2015-03-25,25,25
997,2015-03-26,63,88
997,2015-04-05,87,175
997,2015-04-14,50,225
999,2015-03-13,58,58
999,2015-04-11,77,135
999,2015-04-21,125,260
1000,2015-04-25,82,82
1002,2015-04-17,61,61
1004,2015-04-07,49,49
1006,2015-03-29,61,61
1006,2015-04-09,92,153
1006,2015-04-15,74,227
1006,2015-04-30,62,289
1007,2015-03-11,45,45
1008,2015-04-23,68,68
1009,2015-03-18,49,49
1010,2015-03-16,50,50
1013,2015-03-02,37,37
1013,2015-03-06,15,52
1013,2015-03-17,21,73
1013,2015-04-20,34,107
1018,2015-03-17,54,54
1018,2015-04-04,52,106
